хвороба,симптом1,симптом2,симптом3,симптом4,симптом5
Інсульт,Проблеми з ковтанням,Проблеми з концентрацією,Спрага,Біль у лівій руці,
Ішіас,Набряклість (локалізована),Поступова втрата периферичного зору,Біль у животі (розлитий),Надмірна сонливість вдень,Червоні плями на шкірі
Екзема,Нервозність (підвищена),Порушення сну (безсоння),,,
Епілепсія,Сковання суглобів,,,,
Анорексія,Біль у правому боці,Підвищений апетит,Збільшення живота,Синці на шкірі (без причини),"Проблеми з сечовипусканням (часті, утруднені)"
Апендицит,Втрата інтересу до діяльності,,,,
Кропив'янка,Біль у суглобах (мігруючий),Часте болісне сечовипускання,,,
Екзема,Біль у спині,Випадіння волосся,Спрага,Прискорене дихання,
Виразковий коліт,Нервозність (підвищена),Набряк мигдалин,Втрата ваги,,
Системний червоний вовчак,Порушення сну,,,,
Цистит,Біль у м'язах,,,,
Остеопороз,Слабкість у кінцівках (прогресуюча),Гіперактивність,Затримка мовленнєвого розвитку,Головний біль,
Бронхіт,Чутливість до сонця,Поступова втрата периферичного зору,,,
Діабет,Відчуття важкості в животі,Порушення сну (безсоння),Охриплість голосу,Лихоманка (сильна),
Жовчнокам'яна хвороба,Проблеми з ковтанням,Вузлики на суглобах,Чутливість до сонця,Червоні плями на шкірі,Діарея
Ларингіт,Біль у м'язах,Почервоніння (локалізоване),Втрата інтересу до діяльності,Біль у суглобах (сильний),Сухість в очах
Глаукома,Шум у вухах,Жовтяниця,Втома,Імпульсивність,
COVID-19,Уповільненість рухів,Слабкість у кінцівках (прогресуюча),,,
Анемія,Флешбеки,,,,
Хронічна втома,Зміни особистості,Діарея,Хрипи в легенях,Чхання,
Рак легенів,Судоми,Дезорієнтація,Біль у суглобах (сильний),Райдужні кола навколо джерел світла,
Рак молочної залози,Біль у горлі,Зміни апетиту/ваги,,,
Астма,Раптова слабкість в обличчі/руці/нозі,Проблеми з концентрацією,"Проблеми з сечовипусканням (часті, утруднені)",,
Рак шлунку,Зміна форми соска,,,,
Діабет,Виділення з соска,,,,
Рак простати,Зменшення зросту з часом,,,,
Кропив'янка,Жовтяниця,Здуття кишківника,,,
Карпальний тунельний синдром,Порушення сну (безсоння),Біль у м'язах (локалізований),Почуття тривоги/паніки,Імпульсивність,Набряк мигдалин
Остеопороз,Поколювання в кінцівках,Стискання в грудях,Біль у спині,Порушення чутливості,Хрипи в легенях
Кропив'янка,Раптова слабкість в обличчі/руці/нозі,Порушення чутливості,Кров у сечі,Втрата ваги,
Карпальний тунельний синдром,Втома,Біль у суглобах (сильний),Висипання,,
Виразка шлунку,Блідість шкіри,Надмірна сонливість вдень,Порушення сну (безсоння),,
Синдром дефіциту уваги та гіперактивності,Тремор рук,Стереотипні рухи,,,
Депресія,Спрага,,,,
Хвороба Паркінсона,Біль у суглобах (сильний),Компульсивні дії,Проблеми з координацією,,
Екзема,Виділення з соска,Погіршення нічного зору,,,
Артрит,Флешбеки,Уникнення травматичних спогадів,Ломота в тілі,,
Ревматоїдний артрит,Свербіж шкіри,,,,
Меланома,Почуття провини/нікчемності,Зміни нігтів,Біль у животі (голодний біль),,
Хронічна втома,Біль у м'язах (сильний),,,,
Інфаркт міокарда,Звуження поля зору,Втрата ваги (різка),Біль у попереку,М'язова слабкість,
Сечокам'яна хвороба,Втрата апетиту (нервова),Охриплість голосу,Підвищений апетит,М'язова слабкість,Двоїння в очах
Холецистит,Сльозотеча,,,,
Фіброміалгія,"Біль у грудях (стискаючий, пекучий)",Занепокоєння,Печія,,
Меланома,Шум у вухах,Порушення сну,,,
Плоскоклітинний рак,Погіршення зору (прогресуюче),Біль у спині,,,
Хронічна втома,Часте сечовипускання,,,,
Артрит,Підвищений апетит,,,,
Базаліома,Збільшення печінки/селезінки,Здуття кишківника,Дратівливість,"Проблеми з сечовипусканням (часті, утруднені)",
Виразка шлунку,Прискорене серцебиття,Свербіж в очах,Порушення сну (безсоння),Кашель (сухий),Сковання суглобів
Розсіяний склероз,Розмитість зображення,Страх набрати вагу,Лущення шкіри,Головний біль,Втрата ваги (без причини)
Кон'юнктивіт,Здуття,Кровотеча,,,
Пієлонефрит,Червоні плями на шкірі,Проблеми з мовленням,Запаморочення,,
Булімія,Втрата апетиту (нервова),,,,
Хронічна втома,Висипання у вигляді метелика на обличчі,Почервоніння (локалізоване),Біль у суглобах,Повільне загоєння ран,Біль у горлі (сильний)
Артрит,Відрижка,,,,
Інсульт,Блювота,Страх набрати вагу,Проблеми з ковтанням,Зміни апетиту/ваги,
Фіброміалгія,Нічна пітливість,,,,
COVID-19,Біль у горлі (першіння),,,,
Рак молочної залози,Стискання в грудях,,,,
Виразковий коліт,Набряк суглобів,Сухість в очах,,,
Карпальний тунельний синдром,Чхання,Біль у м'язах,Біль у вусі,Сухість в очах,
